,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
137,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active
138,6901830,C1CC1C(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],Active
139,16188230,CC1=C(C(=NC(=N1)N)N)/C=C/C(C)(C)C2=CC=C(C=C2)Cl.Cl,Active
140,135398743,C[C@H]1/C=C/C=C(\C(=O)N=C2C(=C3C(=C4C2=NC5(N4)CCN(CC5)CC(C)C)C6=C(C(=C3O)C)O[C@@](C6=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)/C,Active
141,4421,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,Active
142,57338,C1=CC(=CC=C1N2C=C(C(=O)C3=CC(=C(C=C32)Cl)F)C(=O)O)F,Active
143,5335985,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C=C\2/C(=O)NC(=S)S2,Active
144,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,Active
145,1080599,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=O)NC4=CC=CC=C4)F)C(=O)O,Active
146,9695946,COC1=CC=CC=C1OCC(=O)N/N=C/C=C/C2=CC=C(O2)[N+](=O)[O-],Active
147,24747656,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCN(C)C.Cl,Active
148,60063,C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)Cl)N4CCC(C4)N)F)C(=O)O,Active
149,311899,CN1C=CC(=O)C2=C1C=CC(=C2)[N+](=O)[O-],Active
150,135398739,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O,Active
151,2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,Active
152,24747663,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCCO.Cl,Active
153,69756,C1=C(OC(=C1)[N+](=O)[O-])C2=NC(=NC(=N2)N)N,Active
154,24981106,C1=CC(=C(C=C1Cl)NC(=O)C2=CC=C(O2)[N+](=O)[O-])N3C=NC=N3,Active
155,7019465,COC1=C2C(=CC(=C1F)F)C(=O)C(=CN2C3CC3)C(=O)O,Active
156,5337997,C1=CC(=CC=C1C(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-])O,Active
157,44246707,CN(C)[C@@H]1C2CC3CC4=C(C=CC(=C4C(=O)C3C(=O)[C@]2(C(=O)C(C1=O)C(=O)N)O)O)N(C)C.Cl,Active
158,1900573,CCCC1=NN=C(S1)NC(=O)C2=CN(C3=CC(=C(C=C3C2=O)F)N4CCN(CC4)C)CC,Active
159,328839,C1=CN(C(=O)N=C1)C2C(C(C(O2)CO)O)O,Active
160,762594,C1CN(C2=CC=CC=C21)C(=O)C3=CC=C(O3)[N+](=O)[O-],Active
161,313562,C1COCCN1C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],Active
162,135422442,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,Active
163,93215,CN1C(=CN=C1[N+](=O)[O-])C=C,Active
164,395175,C[N+]1=C(C=C2N1C3=CC=CC=C3C2=CC4=C(C=C(C=C4)N(C)C)OC)C5=CC=CC=C5.C(F)(F)(F)S(=O)(=O)[O-],Active
165,54683835,CC(C(=O)NC1C2C(C(CC(=C2C(=O)OC1(C)C(Cl)Cl)O)O)O)N,Active
166,5405088,CC1=NC=C(C=C1)C(=O)N/N=C\C2=CC=C(O2)[N+](=O)[O-],Active
167,952234,C1=CC(=NC=C1Cl)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
168,244989,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N,Active
169,10695961,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+],Active
170,3912236,C1=CC=C2C(=C1)C3=C(C(=CC(=C3)NC(=O)C(F)(F)F)[N+](=O)[O-])NC2=O,Active
171,16682542,CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N,Active
172,265820,C1=CC=C(C=C1)C2=C(N=C3N2C=CC=N3)N=O,Active
173,135747342,C1=CC=C(C(=C1)N/N=C(\C#N)/N=NC2=CC=CC=C2O)O,Active
174,1895703,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCC(C)C,Active
175,135449527,C[C@H]1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,Active
176,100335,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3C,Active
177,135511839,COC(=O)N/N=C/C1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-],Active
178,406463,CC1=C([N+](=O)C2=CC(=C(C=C2N1[O-])F)F)C(=O)C,Active
179,5790,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O,Active
180,66122,C1=C(OC(=C1)[N+](=O)[O-])C2=NNC(=O)NC2=O,Active
181,919526,CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)F)N=NN3CCSCC3,Active
182,15945669,C1=CC(=C(C=C1Cl)Cl)CSC(=N)N.Br,Active
183,89851,COC(=O)CN1C=CN=C1[N+](=O)[O-],Active
184,3089184,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
185,240980,C1C(C(OC1N2C=C(C(=NC2=O)N)F)CO)O,Active
186,917183,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,Active
187,1068705,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)OCC,Active
188,20039,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C(N=CN=C32)N,Active
189,404291,CC1=C([N+](=O)C2=CC=CC=C2N1[O-])C(=O)C,Active
190,314146,C1=CC(=CN=C1)NC(=O)C2=CC=C(S2)[N+](=O)[O-],Active
191,1898247,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=O)C4=CC=CO4)F)C(=O)NC5=C(C=CC=N5)O,Active
192,100475,C1=CC(=CC(=C1)SC2=CC3=C(C=C2)N=C(N=C3N)N)C(F)(F)F,Active
193,54368,CC1=C2C(=NC(=NC2=NC=C1CC3=C(C=CC(=C3)OC)OC)N)N.C(CS(=O)(=O)O)O,Active
194,3161478,CN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl,Active
195,452029,C1[C@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)N=[N+]=[N-],Active
196,371711,CN(C(=S)C1=CC=CC=C1)O,Active
197,80533,C1=CC2=NNN=C2C(=C1)[N+](=O)[O-],Active
198,823973,CC(=O)C1=CC(=CC=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
199,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Active
200,114811,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,Active
201,407401,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3.OS(=O)(=O)O,Active
202,328145,CN(C)C1=CC=C(C=C1)SC2=CC3=C(C=C2)N=C(N=C3N)N,Active
203,6893438,C1=CC=C(C=C1)C(=O)NCC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],Active
204,5356520,CN1CCN(CC1)C(=O)/C=C/C2=CC=C(O2)[N+](=O)[O-],Active
