Protein,Ligand,Best Run,Binding Energy (kcal/mol)
model_01_psef_protein,TAK-779,67,-11.04
model_01_psef_protein,efatutazone,29,-11.04
model_01_psef_protein,WZ8040,91,-11.04
model_01_psef_protein,CC-401,83,-11.04
model_01_psef_protein,AZD2014,59,-11.04
model_01_psef_protein,chlorophyllin,69,-11.03
model_01_psef_protein,GSK461364,55,-11.03
model_01_psef_protein,acolbifene,76,-11.03
model_01_psef_protein,YM-750,65,-11.03
model_01_psef_protein,GW-1929,27,-11.03
model_01_psef_protein,BMS-599626,86,-11.02
model_01_psef_protein,capreomycin,68,-11.02
model_01_psef_protein,MRX-2843,92,-11.01
model_01_psef_protein,HTH-01-015,21,-11.01
model_01_psef_protein,TGR-1202,84,-11.01
model_01_psef_protein,AZ-10606120,92,-11.0
model_01_psef_protein,avasimibe,24,-11.0
model_01_psef_protein,fenoverine,45,-10.99
model_01_psef_protein,erastin,86,-10.99
model_01_psef_protein,NGB-2904,65,-10.99
model_01_psef_protein,MK-3207,18,-10.99
model_01_psef_protein,estradiol-cypionate,61,-10.99
model_01_psef_protein,dofequidar,26,-10.98
model_01_psef_protein,cholecalciferol,39,-10.98
model_01_psef_protein,glimepiride,61,-10.98
model_01_psef_protein,WH-4-023,66,-10.97
model_01_psef_protein,GW-788388,96,-10.97
model_01_psef_protein,R-59022,11,-10.97
model_01_psef_protein,rimegepant,35,-10.97
model_01_psef_protein,entasobulin,92,-10.97
model_01_psef_protein,fexaramine,20,-10.97
model_01_psef_protein,PIM-447,54,-10.96
model_01_psef_protein,TC-N-1752,24,-10.96
model_01_psef_protein,teneligliptin,28,-10.96
model_01_psef_protein,GDC-0068,97,-10.96
model_01_psef_protein,GW-7647,91,-10.96
model_01_psef_protein,verteporfin,8,-10.95
model_01_psef_protein,TG-100572,18,-10.95
model_01_psef_protein,BAY1125976,30,-10.95
model_01_psef_protein,paclitaxel,30,-10.95
model_01_psef_protein,vinflunine,9,-10.95
model_01_psef_protein,GNF-5837,99,-10.95
model_01_psef_protein,pentagastrin,29,-10.94
model_01_psef_protein,BW-180C,70,-10.94
model_01_psef_protein,ivermectin,45,-10.94
